index,FIPS code,Year,Hail Reports,Wind Reports
949,20103,1994,0,5
950,20103,1995,3,5
951,20103,1996,6,5
952,20103,1997,6,1
953,20103,1998,9,6
954,20103,1999,0,5
955,20103,2000,8,12
956,20103,2001,13,5
957,20103,2002,11,5
958,20103,2003,11,1
959,20103,2004,8,5
960,20103,2005,17,7
961,20103,2006,24,5
962,20103,2007,5,1
963,20103,2008,29,15
964,20103,2009,8,4
965,20103,2010,25,18
966,20103,2011,24,15
967,20103,2012,5,11
968,20103,2013,0,5
969,20103,2014,15,6
970,20103,2015,1,4
971,20103,2016,6,5
972,20103,2017,8,19
973,20103,2018,0,5
974,20103,2019,3,9
975,20103,2020,1,6
976,20103,2021,7,15
977,20103,2022,0,8
978,20103,2023,3,6
979,20103,2024,7,10
980,20121,1955,0,0
981,20121,1956,0,0
982,20121,1957,0,0
983,20121,1958,1,0
984,20121,1959,1,0
985,20121,1960,1,1
986,20121,1961,0,0
987,20121,1962,0,1
988,20121,1963,0,0
989,20121,1964,0,1
990,20121,1965,0,1
991,20121,1966,1,0
992,20121,1967,0,1
993,20121,1968,0,0
994,20121,1969,0,0
995,20121,1970,0,0
996,20121,1971,3,0
997,20121,1972,1,1
998,20121,1973,1,0
999,20121,1974,0,0
1000,20121,1975,0,1
1001,20121,1976,1,0
1002,20121,1977,0,0
1003,20121,1978,1,4
1004,20121,1979,0,0
1005,20121,1980,0,1
1006,20121,1981,2,1
1007,20121,1982,0,2
1008,20121,1983,2,1
1009,20121,1984,0,2
1010,20121,1985,2,2
1011,20121,1986,2,3
1012,20121,1987,2,1
1013,20121,1988,1,1
1014,20121,1989,2,1
1015,20121,1990,2,0
1016,20121,1991,1,0
1017,20121,1992,1,2
1018,20121,1993,2,1
1019,20121,1994,6,5
1020,20121,1995,11,7
1021,20121,1996,4,3
1022,20121,1997,5,2
1023,20121,1998,6,10
1024,20121,1999,3,4
1025,20121,2000,2,6
1026,20121,2001,7,3
1027,20121,2002,3,2
1028,20121,2003,18,3
1029,20121,2004,2,3
1030,20121,2005,9,8
1031,20121,2006,9,0
1032,20121,2007,7,0
1033,20121,2008,2,4
1034,20121,2009,1,3
1035,20121,2010,2,1
1036,20121,2011,6,5
1037,20121,2012,2,1
1038,20121,2013,2,3
1039,20121,2014,1,7
1040,20121,2015,5,5
1041,20121,2016,1,3
1042,20121,2017,10,4
1043,20121,2018,6,2
1044,20121,2019,3,2
1045,20121,2020,2,1
1046,20121,2021,0,0
1047,20121,2022,0,1
1048,20121,2023,2,1
1049,20121,2024,0,12
1050,20209,1955,1,0
1051,20209,1956,1,5
1052,20209,1957,0,0
1053,20209,1958,0,2
1054,20209,1959,2,2
1055,20209,1960,2,1
1056,20209,1961,1,1
1057,20209,1962,2,1
1058,20209,1963,3,0
1059,20209,1964,1,0
1060,20209,1965,0,1
1061,20209,1966,5,0
1062,20209,1967,1,1
1063,20209,1968,0,2
1064,20209,1969,2,7
1065,20209,1970,1,1
1066,20209,1971,4,4
1067,20209,1972,0,2
1068,20209,1973,4,0
1069,20209,1974,1,0
1070,20209,1975,0,0
1071,20209,1976,1,1
1072,20209,1977,3,2
1073,20209,1978,1,1
1074,20209,1979,1,2
1075,20209,1980,1,3
1076,20209,1981,1,2
1077,20209,1982,3,2
1078,20209,1983,0,2
1079,20209,1984,3,1
1080,20209,1985,2,4
1081,20209,1986,0,0
1082,20209,1987,4,5
1083,20209,1988,2,2
1084,20209,1989,1,0
1085,20209,1990,0,0
1086,20209,1991,3,3
1087,20209,1992,0,0
1088,20209,1993,3,1
1089,20209,1994,0,1
1090,20209,1995,4,4
1091,20209,1996,2,1
1092,20209,1997,1,1
1093,20209,1998,4,4
1094,20209,1999,1,1
1095,20209,2000,6,6
1096,20209,2001,4,5
1097,20209,2002,6,1
1098,20209,2003,4,1
1099,20209,2004,2,2
1100,20209,2005,7,4
1101,20209,2006,9,2
1102,20209,2007,0,1
1103,20209,2008,8,2
1104,20209,2009,2,5
1105,20209,2010,12,4
1106,20209,2011,2,0
1107,20209,2012,1,1
1108,20209,2013,0,0
1109,20209,2014,1,3
1110,20209,2015,0,3
1111,20209,2016,6,4
1112,20209,2017,9,8
1113,20209,2018,1,0
1114,20209,2019,4,3
1115,20209,2020,3,3
1116,20209,2021,5,3
1117,20209,2022,1,3
1118,20209,2023,0,5
1119,20209,2024,14,16
1120,29037,1955,2,1
1121,29037,1956,0,2
1122,29037,1957,0,2
1123,29037,1958,0,2
1124,29037,1959,0,0
1125,29037,1960,1,0
1126,29037,1961,1,0
1127,29037,1962,0,2
1128,29037,1963,0,0
1129,29037,1964,2,4
1130,29037,1965,0,1
1131,29037,1966,2,2
1132,29037,1967,1,3
1133,29037,1968,4,3
1134,29037,1969,4,6
1135,29037,1970,2,1
1136,29037,1971,2,6
1137,29037,1972,5,2
1138,29037,1973,6,2
1139,29037,1974,1,1
1140,29037,1975,0,2
1141,29037,1976,0,2
1142,29037,1977,2,1
1143,29037,1978,1,5
